STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
WEST BENGAL,24 PARGANAS SOUTH,2004,130,3,54,122,0,122,103,100,3,13,8,33,12,1597,288,1309,231,1,114,3,16,36,43,101,3,966,0,27,3507,7123,1,Moderate Areas
HARYANA,GURGAON,2012,82,66,3,44,0,44,56,47,9,34,56,84,495,3529,2998,531,122,71,216,1,4,114,15,18,31,150,0,23,1924,7138,1,Moderate Areas
MADHYA PRADESH,SAGAR,2004,69,89,0,141,0,141,30,23,7,0,0,40,348,449,75,374,87,12,20,0,28,2591,40,338,26,161,0,105,2569,7143,1,Moderate Areas
DELHI UT,WEST,2002,73,72,16,44,0,44,128,93,35,1,13,50,313,1925,1060,865,5,33,154,4,7,278,27,37,11,16,0,59,3882,7148,1,Moderate Areas
KARNATAKA,BELGAUM,2008,124,94,1,30,0,30,59,45,14,3,7,53,311,599,256,343,460,19,223,7,27,1049,9,180,9,233,0,36,3617,7150,1,Moderate Areas
RAJASTHAN,ALWAR,2004,60,98,0,43,0,43,86,67,19,0,3,31,203,1138,459,679,85,23,327,4,29,2036,30,98,0,276,0,348,2245,7163,1,Moderate Areas
ASSAM,GUWAHATI CITY,2008,50,18,16,59,0,59,167,97,70,20,42,77,564,1129,987,142,74,125,147,22,15,345,5,169,0,216,0,135,3768,7163,1,Moderate Areas
HARYANA,GURGAON,2008,80,59,5,35,0,35,89,66,23,36,56,111,698,2843,2063,780,117,91,200,8,9,156,19,27,32,123,0,29,2347,7170,1,Moderate Areas
TAMIL NADU,VILLUPURAM,2009,70,98,2,62,0,62,80,66,14,6,0,22,109,398,213,185,223,3,45,1,22,692,8,78,31,33,0,811,4377,7171,1,Moderate Areas
RAJASTHAN,UDAIPUR,2004,59,76,3,57,0,57,134,115,19,3,1,75,308,618,219,399,294,34,437,1,52,1754,14,102,2,199,0,306,2654,7183,1,Moderate Areas
MAHARASHTRA,PUNE RURAL,2008,146,77,26,66,0,66,46,30,16,34,15,89,588,1400,696,704,357,59,191,7,23,874,13,104,30,189,0,1027,1822,7183,1,Moderate Areas
KERALA,MALAPPURAM,2007,22,29,7,41,0,41,13,3,10,16,13,32,500,456,208,248,516,13,235,1,19,903,0,139,37,503,0,0,3691,7186,1,Moderate Areas
RAJASTHAN,BHARATPUR,2003,91,92,3,41,0,41,105,68,37,1,8,40,81,841,234,607,3,68,297,0,41,1219,30,55,0,228,0,188,3759,7191,1,Moderate Areas
MADHYA PRADESH,DEWAS,2004,48,93,0,82,0,82,30,21,9,10,7,70,315,853,165,688,107,14,47,0,40,459,16,193,55,216,0,150,4392,7197,1,Moderate Areas
ANDHRA PRADESH,WEST GODAVARI,2005,81,119,0,69,0,69,58,35,23,2,0,27,300,1204,236,968,54,96,312,10,33,2404,17,232,118,410,0,454,1200,7200,1,Moderate Areas
RAJASTHAN,BHARATPUR,2008,63,53,0,74,0,74,100,75,25,5,14,34,58,882,368,514,5,16,528,4,20,673,24,39,0,371,0,212,4028,7203,1,Moderate Areas
ANDHRA PRADESH,KRISHNA,2012,78,53,1,67,0,67,67,55,12,2,0,9,263,673,139,534,26,54,218,7,52,2601,16,341,309,791,0,415,1168,7211,1,Moderate Areas
MAHARASHTRA,AHMEDNAGAR,2010,122,75,1,57,0,57,58,45,13,58,8,155,579,1517,536,981,570,47,254,9,46,718,10,115,1,604,0,703,1508,7215,1,Moderate Areas
DELHI UT,WEST,2005,57,55,12,94,0,94,151,122,29,3,11,49,325,2370,1369,1001,1,37,179,1,10,286,10,86,19,227,0,51,3183,7217,1,Moderate Areas
RAJASTHAN,KOTA,2004,47,300,4,42,0,42,137,124,13,1,2,50,325,1201,600,601,59,43,409,3,39,497,10,186,1,400,0,175,3290,7221,1,Moderate Areas
ANDHRA PRADESH,VIJAYAWADA CITY,2011,35,66,5,37,0,37,70,50,20,2,0,35,232,1531,609,922,2,101,430,6,24,1842,17,248,355,1066,0,313,808,7225,1,Moderate Areas
TAMIL NADU,KANCHIPURAM,2007,57,97,0,25,0,25,18,18,0,4,0,16,157,368,91,277,80,0,32,0,23,390,13,27,18,10,0,820,5081,7236,1,Moderate Areas
RAJASTHAN,ALWAR,2006,75,83,4,81,0,81,102,68,34,0,11,38,160,1093,536,557,72,31,635,3,19,2084,36,111,0,314,0,360,1931,7243,1,Moderate Areas
MAHARASHTRA,AHMEDNAGAR,2012,111,91,5,61,0,61,59,49,10,48,14,262,481,1374,463,911,572,56,361,2,46,802,23,147,1,576,0,744,1410,7246,1,Moderate Areas
WEST BENGAL,NADIA,2008,102,345,28,178,0,178,216,204,12,15,37,34,13,1237,93,1144,319,21,180,13,24,1366,46,296,2,1186,0,277,1312,7247,1,Moderate Areas
KERALA,TRIVANDRUM COMMR.,2012,14,12,1,41,0,41,23,16,7,4,106,101,154,285,101,184,629,11,304,0,10,1116,0,226,19,159,0,2,4036,7253,1,Moderate Areas
ANDHRA PRADESH,KURNOOL,2010,156,145,6,49,0,49,85,67,18,5,0,20,211,491,164,327,84,28,301,9,41,1500,19,347,268,501,0,593,2399,7258,1,Moderate Areas
TAMIL NADU,VILLUPURAM,2002,76,82,2,51,0,51,67,53,14,0,0,4,142,470,141,329,374,16,27,0,24,885,3,92,17,42,0,571,4315,7260,1,Moderate Areas
ANDHRA PRADESH,CHITTOOR,2009,85,68,2,33,0,33,74,46,28,4,0,17,251,1208,521,687,104,25,276,32,45,1040,19,120,268,333,0,682,2582,7268,1,Moderate Areas
TAMIL NADU,CHENNAISUBURBAN,2009,72,118,0,46,0,46,28,18,10,6,2,72,301,839,181,658,80,4,222,9,5,640,20,51,65,59,0,692,3946,7277,1,Moderate Areas
ASSAM,GUWAHATI CITY,2009,86,34,4,54,0,54,293,231,62,24,8,165,631,1728,728,1000,49,148,227,9,45,721,9,162,0,321,0,311,2251,7280,1,Moderate Areas
MAHARASHTRA,THANE COMMR.,2004,115,72,1,57,0,57,67,46,21,33,18,159,1089,2114,831,1283,244,76,523,8,12,1657,7,87,36,190,0,271,450,7286,1,Moderate Areas
RAJASTHAN,BHARATPUR,2001,75,98,2,48,0,48,126,103,23,3,6,41,148,808,177,631,445,37,304,2,59,1166,24,77,0,209,0,135,3478,7291,1,Moderate Areas
TAMIL NADU,CHENNAI,2001,91,298,0,28,0,28,40,0,40,12,0,127,668,2167,433,1734,105,26,600,0,0,813,13,70,209,111,0,675,1239,7292,1,Moderate Areas
MADHYA PRADESH,SAGAR,2002,81,120,0,136,0,136,30,24,6,0,0,39,414,501,75,426,183,12,46,0,43,2343,26,425,22,164,0,113,2605,7303,1,Moderate Areas
RAJASTHAN,BHARATPUR,2002,87,81,4,59,0,59,109,79,30,0,2,48,148,709,147,562,18,47,303,2,59,1116,27,29,0,227,0,169,4060,7304,1,Moderate Areas
BIHAR,MUZAFFARPUR,2012,198,611,12,34,0,34,279,220,59,48,1,73,284,1469,751,718,427,28,292,0,8,2219,83,0,0,80,3,198,959,7306,1,Moderate Areas
ANDHRA PRADESH,CHITTOOR,2008,123,65,7,30,0,30,84,57,27,6,0,20,260,1321,420,901,64,29,295,20,33,1017,26,104,250,288,0,730,2535,7307,1,Moderate Areas
KARNATAKA,BANGALORE RURAL,2002,153,114,7,22,0,22,38,0,38,23,1,54,498,767,129,638,480,37,63,1,41,1274,35,114,0,129,0,0,3459,7310,1,Moderate Areas
KARNATAKA,BELGAUM,2009,106,92,2,39,0,39,60,43,17,16,8,76,342,534,265,269,488,25,242,7,20,1079,10,220,3,311,0,47,3588,7315,1,Moderate Areas
KERALA,KOTTAYAM,2002,20,22,7,28,0,28,15,7,8,6,0,65,337,379,103,276,439,40,275,7,19,1719,0,156,19,132,0,0,3631,7316,1,Moderate Areas
KERALA,ALAPUZHA,2001,22,32,2,21,0,21,8,6,2,2,0,18,227,195,109,86,419,18,152,9,35,1373,1,162,2,105,0,0,4516,7319,1,Moderate Areas
ANDHRA PRADESH,WARANGAL,2007,106,61,5,57,0,57,138,109,29,1,0,15,277,697,202,495,217,8,294,9,63,1690,56,279,50,608,0,469,2233,7333,1,Moderate Areas
MADHYA PRADESH,SAGAR,2005,76,105,0,110,0,110,31,21,10,2,6,49,445,491,94,397,86,14,23,0,29,2486,34,362,24,127,0,141,2694,7335,1,Moderate Areas
CHHATTISGARH,DURG,2009,87,45,0,109,0,109,19,17,2,8,3,63,564,726,316,410,81,18,105,12,35,298,8,223,20,124,0,394,4399,7341,1,Moderate Areas
DELHI UT,WEST,2004,67,72,6,58,0,58,110,79,31,1,10,50,235,2512,1420,1092,5,33,156,2,5,285,24,46,9,215,0,56,3386,7343,1,Moderate Areas
TAMIL NADU,VELLORE,2007,66,36,2,25,0,25,55,48,7,0,0,11,165,418,129,289,4,3,52,0,13,647,8,26,0,75,0,408,5329,7343,1,Moderate Areas
WEST BENGAL,24 PARGANAS NORTH,2003,193,30,50,92,0,92,119,103,16,29,0,73,29,1988,615,1373,243,17,99,14,0,0,24,105,3,672,0,0,3571,7351,1,Moderate Areas
TAMIL NADU,VELLORE,2003,87,30,0,20,0,20,42,23,19,0,0,5,179,591,128,463,84,9,43,5,24,2431,6,43,32,17,0,383,3323,7354,1,Moderate Areas
MAHARASHTRA,NAGPUR COMMR.,2003,104,40,0,26,0,26,36,29,7,16,37,172,1079,2022,722,1300,165,46,151,16,14,783,4,36,36,136,0,224,2214,7357,1,Moderate Areas
KERALA,KOZHIKODE RURAL,2010,16,31,1,35,0,35,17,14,3,9,6,16,141,119,48,71,838,8,147,1,64,1096,1,146,12,321,0,3,4330,7358,1,Moderate Areas
DELHI UT,WEST,2006,66,63,10,88,0,88,155,128,27,2,16,39,272,2310,1386,924,5,66,173,8,2,306,17,97,5,260,0,37,3371,7368,1,Moderate Areas
ANDHRA PRADESH,WEST GODAVARI,2004,72,108,3,81,0,81,66,43,23,0,0,13,345,1247,197,1050,57,78,349,8,40,1798,17,301,104,518,0,437,1728,7370,1,Moderate Areas
MADHYA PRADESH,UJJAIN,2005,55,134,0,74,0,74,28,14,14,7,2,91,447,1058,226,832,72,25,69,6,29,792,17,172,41,173,1,125,3953,7371,1,Moderate Areas
ANDHRA PRADESH,GUNTUR,2012,96,68,1,23,0,23,63,53,10,0,0,6,146,708,176,532,31,25,261,25,33,2309,21,252,83,656,0,461,2103,7371,1,Moderate Areas
TAMIL NADU,ERODE,2007,54,31,0,20,0,20,66,62,4,5,0,10,133,603,133,470,64,18,90,1,30,613,5,64,7,99,0,603,4864,7380,1,Moderate Areas
TAMIL NADU,SALEM RURAL,2008,69,103,2,35,0,35,112,101,11,5,2,19,101,347,60,287,346,5,35,6,41,2341,3,217,0,94,0,448,3050,7381,1,Moderate Areas
RAJASTHAN,KOTA,2001,58,310,1,50,0,50,146,116,30,2,2,86,456,1213,444,769,229,43,308,4,43,1175,17,203,6,319,0,119,2593,7383,1,Moderate Areas
KARNATAKA,BELGAUM,2011,136,121,2,45,0,45,53,32,21,7,2,83,284,499,281,218,552,15,298,1,23,1050,11,221,4,297,0,44,3645,7393,1,Moderate Areas
WEST BENGAL,24 PARGANAS SOUTH,2006,138,4,34,190,0,190,155,154,1,14,227,17,165,1019,298,721,289,1,110,2,6,390,68,157,3,1105,0,67,3235,7396,1,Moderate Areas
TAMIL NADU,THANJAVUR,2009,69,80,1,5,0,5,36,36,0,4,13,64,223,844,359,485,72,3,42,12,28,797,8,60,3,17,0,388,4639,7408,1,Moderate Areas
KARNATAKA,BANGALORE RURAL,2003,128,85,17,27,0,27,34,19,15,17,0,49,462,864,156,708,465,28,54,0,103,1363,31,107,0,130,0,0,3445,7409,1,Moderate Areas
KERALA,KOZHIKODE RURAL,2011,12,31,1,46,0,46,21,16,5,2,1,27,134,157,69,88,997,6,164,0,96,1124,1,179,13,322,0,2,4073,7409,1,Moderate Areas
UTTAR PRADESH,LUCKNOW,2004,173,135,27,46,0,46,164,135,29,12,3,109,479,2279,1042,1237,150,199,325,19,7,71,48,64,152,272,0,358,2320,7412,1,Moderate Areas
KERALA,MALAPPURAM,2008,29,27,9,51,0,51,13,7,6,3,30,47,467,480,189,291,618,28,245,3,19,878,2,149,28,525,0,0,3768,7419,1,Moderate Areas
TAMIL NADU,THANJAVUR,2008,66,93,0,7,0,7,29,29,0,1,22,20,158,532,111,421,68,2,27,0,30,809,7,108,0,20,0,418,5003,7420,1,Moderate Areas
DELHI UT,EAST,2012,48,53,9,90,0,90,503,251,252,4,0,57,172,3258,2137,1121,14,33,211,1,17,161,7,96,26,202,0,35,2426,7423,1,Moderate Areas
GUJARAT,SURAT COMMR.,2010,87,19,1,23,0,23,82,63,19,12,7,80,273,1712,1247,465,87,34,126,36,7,556,3,24,1,268,0,364,3624,7426,1,Moderate Areas
KERALA,MALAPPURAM,2001,23,33,5,71,0,71,17,4,13,6,0,11,288,340,157,183,663,40,211,14,30,1119,3,92,3,448,0,0,4011,7428,1,Moderate Areas
WEST BENGAL,JALPAIGURI,2010,117,97,34,180,0,180,259,206,53,19,1,65,61,1290,165,1125,74,87,75,1,14,1230,12,269,0,649,0,233,2666,7433,1,Moderate Areas
ANDHRA PRADESH,WEST GODAVARI,2007,62,106,0,52,0,52,117,80,37,3,0,8,279,1194,227,967,33,45,365,22,24,2223,22,309,155,573,0,523,1319,7434,1,Moderate Areas
TAMIL NADU,COIMBATORE RURAL,2006,79,46,0,18,0,18,36,20,16,16,0,25,171,952,290,662,91,12,88,2,0,567,8,60,26,67,0,807,4364,7435,1,Moderate Areas
ANDHRA PRADESH,KURNOOL,2011,153,177,4,39,0,39,76,58,18,9,0,19,240,555,166,389,116,13,382,4,45,1611,20,340,222,424,0,553,2439,7441,1,Moderate Areas
CHHATTISGARH,RAIPUR,2005,92,59,2,125,0,125,46,41,5,4,2,42,619,1027,474,553,101,38,80,27,19,373,16,235,29,94,0,352,4072,7454,1,Moderate Areas
MADHYA PRADESH,UJJAIN,2006,65,128,0,79,0,79,39,34,5,8,4,86,413,1111,292,819,87,32,110,0,35,705,12,175,39,157,0,121,4052,7458,1,Moderate Areas
KARNATAKA,BELGAUM,2010,124,106,2,42,0,42,62,44,18,14,2,61,239,567,320,247,572,26,243,9,12,1053,10,222,8,273,0,39,3777,7463,1,Moderate Areas
RAJASTHAN,UDAIPUR,2009,72,71,6,109,0,109,180,156,24,5,1,72,273,772,316,456,179,31,621,3,33,1613,15,159,4,353,0,359,2536,7467,1,Moderate Areas
CHHATTISGARH,DURG,2012,52,44,1,91,0,91,55,47,8,1,0,32,377,793,362,431,31,17,125,1,21,165,9,178,25,111,0,261,5081,7471,1,Moderate Areas
UTTAR PRADESH,GHAZIABAD,2012,146,111,39,31,0,31,255,220,35,6,11,106,207,2707,2103,604,76,111,324,6,0,14,41,60,0,277,0,358,2591,7477,1,Moderate Areas
ANDHRA PRADESH,WARANGAL,2009,103,42,5,70,0,70,140,130,10,3,0,14,277,516,216,300,289,9,365,7,40,1421,49,234,25,432,0,510,2928,7479,1,Moderate Areas
ANDHRA PRADESH,WEST GODAVARI,2003,77,92,4,107,0,107,88,65,23,6,0,14,329,1014,116,898,72,69,344,12,54,1731,21,382,121,584,0,423,1936,7480,1,Moderate Areas
BIHAR,MOTIHARI,2011,136,741,38,37,0,37,209,179,30,13,0,58,174,580,191,389,641,89,135,10,33,1055,69,8,0,57,0,56,3350,7489,1,Moderate Areas
RAJASTHAN,BHARATPUR,2004,92,134,1,44,0,44,128,91,37,7,10,26,99,821,198,623,3,40,322,2,44,1186,16,52,0,295,0,211,3995,7528,1,Moderate Areas
MAHARASHTRA,PUNE RURAL,2009,125,61,6,72,0,72,57,38,19,45,19,116,746,1804,893,911,387,50,178,8,16,808,9,133,15,218,0,999,1665,7537,1,Moderate Areas
ANDHRA PRADESH,WEST GODAVARI,2006,59,130,0,53,0,53,96,50,46,1,0,19,275,1251,236,1015,52,83,441,26,35,2444,23,354,117,4,0,452,1623,7538,1,Moderate Areas
KERALA,TRIVANDRUM RURAL,2003,37,27,11,28,0,28,28,23,5,7,5,64,360,309,109,200,488,14,173,11,53,1687,7,212,4,232,0,0,3787,7544,1,Moderate Areas
GUJARAT,SURAT COMMR.,2009,101,15,2,28,0,28,119,74,45,20,3,80,439,2220,1474,746,83,30,171,32,5,623,9,34,2,351,0,473,2724,7564,1,Moderate Areas
KERALA,ALAPUZHA,2002,18,30,1,13,0,13,14,5,9,5,0,19,234,244,128,116,548,19,129,5,38,1335,2,149,2,165,0,0,4608,7578,1,Moderate Areas
GUJARAT,BHAVNAGAR,2005,66,31,0,14,0,14,85,70,15,30,0,164,398,1116,345,771,190,91,155,46,41,93,3,79,33,216,0,3,4732,7586,1,Moderate Areas
UTTAR PRADESH,MEERUT,2011,189,235,25,79,0,79,323,271,52,9,1,235,247,2445,1660,785,238,96,444,8,7,24,36,99,0,400,0,357,2110,7607,1,Moderate Areas
TAMIL NADU,THIRUNELVELI RURAL,2007,80,262,1,35,0,35,56,54,2,1,0,46,170,416,43,373,2,7,87,7,75,871,5,96,0,105,0,284,5004,7610,1,Moderate Areas
ANDHRA PRADESH,EAST GODAVARI,2003,73,78,2,18,0,18,59,35,24,4,0,17,569,1162,178,984,79,83,252,21,71,2918,11,150,110,357,0,424,1158,7616,1,Moderate Areas
KERALA,ALAPUZHA,2005,23,21,3,22,0,22,18,7,11,6,0,28,226,224,85,139,288,25,181,2,21,1204,1,165,4,201,0,0,4959,7622,1,Moderate Areas
MADHYA PRADESH,UJJAIN,2003,58,146,1,59,0,59,40,34,6,8,4,73,602,1174,201,973,91,30,48,1,44,813,7,172,27,125,0,81,4030,7634,1,Moderate Areas
ANDHRA PRADESH,NALGONDA,2011,101,95,5,48,0,48,84,51,33,2,0,19,294,612,150,462,130,31,264,6,62,1374,36,229,150,255,0,778,3065,7640,1,Moderate Areas
MADHYA PRADESH,UJJAIN,2001,84,163,1,59,0,59,44,33,11,6,1,79,826,1387,265,1122,133,24,64,3,38,744,7,161,33,109,0,52,3623,7641,1,Moderate Areas
MAHARASHTRA,AHMEDNAGAR,2011,107,108,3,78,0,78,82,59,23,64,20,161,626,1622,466,1156,679,32,273,8,43,779,32,160,5,677,0,713,1376,7648,1,Moderate Areas
KERALA,ALAPUZHA,2009,20,33,8,26,0,26,14,10,4,7,0,36,220,304,107,197,410,14,231,0,13,1185,1,174,23,217,0,0,4718,7654,1,Moderate Areas
ANDHRA PRADESH,VIJAYAWADA,2004,46,43,1,19,0,19,76,43,33,4,0,29,555,2272,356,1916,12,27,531,6,17,2218,10,132,196,678,0,240,547,7659,1,Moderate Areas
UTTAR PRADESH,KANPUR NAGAR,2011,159,140,41,71,0,71,343,303,40,11,0,133,319,1738,1353,385,177,208,510,35,3,309,69,140,2,284,0,453,2516,7661,1,Moderate Areas
MAHARASHTRA,THANE COMMR.,2005,106,52,3,60,0,60,85,52,33,29,36,146,1127,2042,844,1198,288,84,564,22,17,1815,1,110,39,246,0,283,509,7664,1,Moderate Areas
TAMIL NADU,VELLORE,2011,77,72,5,25,0,25,84,78,6,3,0,23,186,560,321,239,3,6,81,12,16,794,5,29,0,44,0,740,4907,7672,1,Moderate Areas
MADHYA PRADESH,SAGAR,2001,84,122,0,141,0,141,30,16,14,4,0,53,473,497,22,475,151,10,56,1,51,2669,29,509,0,142,0,106,2553,7681,1,Moderate Areas
ANDHRA PRADESH,VIJAYAWADA CITY,2012,42,56,6,47,0,47,66,39,27,1,0,60,221,1385,567,818,16,123,416,6,33,1961,16,223,418,1136,0,370,1084,7686,1,Moderate Areas
DELHI UT,WEST,2001,70,51,12,45,0,45,151,99,52,2,24,58,418,2100,996,1104,5,38,198,1,3,252,18,65,2,22,0,4,4151,7690,1,Moderate Areas
MADHYA PRADESH,GWALIOR,2002,102,126,3,69,0,69,79,48,31,10,7,133,999,872,282,590,154,41,89,3,30,1007,18,150,12,133,0,197,3456,7690,1,Moderate Areas
KERALA,ALAPUZHA,2006,27,33,6,15,0,15,18,14,4,11,0,32,207,254,112,142,392,21,227,0,22,1206,1,177,14,227,0,2,4808,7700,1,Moderate Areas
ANDHRA PRADESH,KARIMNAGAR,2003,153,105,11,88,0,88,89,67,22,12,1,43,261,460,18,442,180,46,376,10,48,2771,53,362,132,602,1,363,1542,7709,1,Moderate Areas
TAMIL NADU,VELLORE,2012,76,82,11,24,0,24,76,68,8,6,0,40,188,489,251,238,9,18,71,23,17,789,8,38,0,61,0,735,4949,7710,1,Moderate Areas
ANDHRA PRADESH,GUNTUR,2003,210,84,2,46,0,46,95,77,18,16,0,28,316,1173,228,945,124,82,368,12,69,1633,22,228,99,399,0,411,2298,7715,1,Moderate Areas
ANDHRA PRADESH,WARANGAL,2004,111,67,7,53,0,53,125,88,37,9,0,31,352,670,175,495,304,9,400,6,0,1902,43,228,0,162,0,434,2804,7717,1,Moderate Areas
KERALA,PALAKKAD,2011,41,43,12,85,0,85,13,9,4,5,19,36,208,236,72,164,684,34,201,2,24,1372,2,156,18,404,0,9,4117,7721,1,Moderate Areas
MAHARASHTRA,NAGPUR COMMR.,2010,88,69,5,58,0,58,57,34,23,13,13,259,599,1732,852,880,183,72,264,24,20,842,8,87,48,175,0,332,2780,7728,1,Moderate Areas
ANDHRA PRADESH,GUNTUR,2005,165,88,1,55,0,55,87,56,31,14,0,35,293,1266,267,999,110,47,412,14,61,1480,16,166,203,366,0,495,2362,7736,1,Moderate Areas
ANDHRA PRADESH,NALGONDA,2010,118,68,5,68,0,68,81,81,0,4,0,36,303,595,191,404,99,46,245,4,57,1420,32,195,192,218,0,748,3202,7736,1,Moderate Areas
TAMIL NADU,THIRUNELVELI RURAL,2009,95,207,2,44,0,44,66,55,11,4,0,94,227,520,82,438,2,3,63,3,72,1017,5,91,0,65,0,341,4819,7740,1,Moderate Areas
ANDHRA PRADESH,EAST GODAVARI,2004,96,101,1,31,0,31,47,23,24,3,0,17,392,1106,171,935,105,86,251,12,23,3023,13,112,105,293,0,473,1451,7741,1,Moderate Areas
MAHARASHTRA,PUNE RURAL,2010,141,81,15,72,0,72,48,33,15,42,30,145,642,1615,790,825,437,111,255,14,29,836,15,136,30,200,0,1096,1751,7741,1,Moderate Areas
MADHYA PRADESH,UJJAIN,2007,70,131,4,79,0,79,33,29,4,7,7,123,387,970,299,671,102,36,72,1,24,717,14,168,36,199,0,130,4442,7752,1,Moderate Areas
WEST BENGAL,24 PARGANAS NORTH,2006,154,82,39,174,0,174,186,140,46,15,397,29,37,1440,431,1009,180,61,100,22,5,349,74,175,5,1049,0,3,3200,7776,1,Moderate Areas
TAMIL NADU,THIRUNELVELI RURAL,2010,83,215,3,48,0,48,65,58,7,2,0,77,195,445,92,353,4,4,129,7,52,1012,3,88,0,52,0,409,4884,7777,1,Moderate Areas
MAHARASHTRA,NAGPUR COMMR.,2009,95,72,2,45,0,45,73,52,21,18,17,317,724,1733,831,902,209,68,302,19,16,791,7,60,39,232,0,260,2686,7785,1,Moderate Areas
UTTAR PRADESH,GHAZIABAD,2011,162,136,35,22,0,22,257,219,38,7,1,135,212,3108,2450,658,113,156,432,2,0,16,47,59,0,255,0,372,2286,7813,1,Moderate Areas
TAMIL NADU,THIRUNELVELI RURAL,2008,89,248,1,42,0,42,68,60,8,0,0,26,213,460,63,397,4,7,93,5,59,1062,3,115,0,97,0,318,4912,7822,1,Moderate Areas
MADHYA PRADESH,GWALIOR,2003,91,137,8,72,0,72,81,50,31,10,8,112,997,967,407,560,151,36,109,2,9,847,24,161,6,125,0,188,3692,7833,1,Moderate Areas
BIHAR,MOTIHARI,2012,124,735,6,22,0,22,233,198,35,27,1,46,213,553,154,399,728,104,182,5,21,1468,67,0,16,156,0,55,3071,7833,1,Moderate Areas
ANDHRA PRADESH,KURNOOL,2008,116,143,5,47,0,47,89,72,17,14,0,28,252,530,160,370,158,22,282,9,9,2972,17,419,232,227,0,551,1713,7835,1,Moderate Areas
KERALA,ALAPUZHA,2010,27,27,10,40,0,40,21,20,1,6,0,43,171,287,116,171,443,15,228,0,18,1234,0,176,45,259,0,2,4790,7842,1,Moderate Areas
ANDHRA PRADESH,GUNTUR,2001,182,88,2,54,0,54,82,51,31,16,3,59,338,1122,171,951,244,67,300,8,43,1792,7,139,129,378,0,369,2426,7848,1,Moderate Areas
KERALA,KOTTAYAM,2009,19,18,2,28,0,28,14,8,6,6,5,49,346,377,86,291,371,31,298,4,18,1663,0,162,34,192,0,0,4211,7848,1,Moderate Areas
KERALA,KOTTAYAM,2007,17,17,3,25,0,25,20,16,4,10,0,57,314,384,114,270,423,47,374,0,18,1771,1,224,31,185,0,6,3932,7859,1,Moderate Areas
WEST BENGAL,JALPAIGURI,2012,117,156,27,163,0,163,334,279,55,5,4,36,25,1461,292,1169,42,54,104,5,21,220,17,179,0,1625,0,314,2952,7861,1,Moderate Areas
ANDHRA PRADESH,WEST GODAVARI,2012,91,91,4,130,0,130,86,59,27,4,0,52,452,1008,294,714,11,49,403,14,37,2313,19,296,235,757,0,578,1237,7867,1,Moderate Areas
TAMIL NADU,KANCHIPURAM,2002,48,43,0,20,0,20,18,0,18,19,0,14,203,574,78,496,91,2,26,0,0,409,9,41,16,13,0,393,5930,7869,1,Moderate Areas
ANDHRA PRADESH,WARANGAL,2006,116,89,2,50,0,50,103,78,25,1,0,19,319,718,188,530,464,15,290,10,70,1743,40,230,56,480,0,487,2577,7879,1,Moderate Areas
ANDHRA PRADESH,GUNTUR,2002,143,77,1,46,0,46,87,71,16,12,0,53,357,1182,150,1032,144,65,346,10,38,1760,13,186,85,434,0,404,2440,7883,1,Moderate Areas
KERALA,TRIVANDRUM RURAL,2007,26,24,9,54,0,54,26,20,6,10,7,79,322,396,154,242,522,15,211,2,35,1708,4,351,7,242,0,3,3832,7885,1,Moderate Areas
WEST BENGAL,JALPAIGURI,2011,108,79,27,211,0,211,293,257,36,9,0,37,50,1521,295,1226,54,83,109,3,33,320,13,223,0,947,0,279,3487,7886,1,Moderate Areas
ANDHRA PRADESH,KARIMNAGAR,2009,91,98,15,48,0,48,128,106,22,2,20,15,250,528,125,403,185,25,396,3,75,2751,40,292,234,635,0,517,1554,7902,1,Moderate Areas
MAHARASHTRA,PUNE RURAL,2011,148,97,9,87,0,87,64,48,16,45,29,150,719,1778,824,954,409,56,298,15,46,789,16,122,26,172,0,1070,1757,7902,1,Moderate Areas
KERALA,KOTTAYAM,2004,18,7,6,28,0,28,13,8,5,5,0,36,345,319,68,251,272,28,368,4,14,1595,1,159,12,139,0,0,4550,7919,1,Moderate Areas
KERALA,KOTTAYAM,2005,24,13,4,25,0,25,17,13,4,3,0,34,393,325,84,241,361,30,389,2,10,1650,1,167,16,149,0,3,4307,7923,1,Moderate Areas
ANDHRA PRADESH,EAST GODAVARI,2002,97,102,2,25,0,25,55,5,50,3,0,12,468,1206,213,993,100,89,262,13,40,3076,11,108,73,276,0,473,1440,7931,1,Moderate Areas
